600	0001	PRUEBA1                  	0001	DIEN	2801	CONS	PROBANDO    	20190521
600	0002	DEVOLUCIONES             	0002	FERT	0001	0002	CURSO03     	20180212
600	0003	PICOS                    	0001	FERT	0001	0001	CURSO03     	20180212
600	0004	CONVENCIONAL             	0001	FERT	0001	0001	CURSO03     	20180212
600	0005	REFRIGERADO              	0002	FERT	0001	0003	CURSO03     	20180212
600	0006	CONVENCIONAL 2           	0002	FERT	0001	0001	CURSO03     	20180212
600	0007	CRISTAL                  	0003	FERT	0001	0001	CURSO03     	20180212
600	0010	REPUESTOS                	0001	ROH 	0001	0004	CURSO03     	20180212
600	0020	MATERIAS AUXILIARES      	0001	ROH 	0001	0005	CURSO03     	20180212
600	0021	MATERIAS AUXILIARES 2    	0003	ROH 	0001	0005	CURSO03     	20180212
600	0030	MATERIAS PRIMAS          	0001	HALB	0001	0006	CURSO03     	20180212
600	0031	MATERIAS PRIMAS 2        	0003	HALB	0001	0006	CURSO03     	20180212
600	1   	LOLI PRUE                	0002	2   	2   	2   	2           	00000000
600	2   	LOLI2                    	0000	    	    	    	            	00000000
600	3   	LOLI3                    	0000	    	    	    	            	00000000
600	4   	LOLI4                    	0000	    	    	    	            	00000000
600	0001	PRUEBA1                  	0001	DIEN	2801	CONS	PROBANDO    	20190521
600	0002	DEVOLUCIONES             	0002	FERT	0001	0002	CURSO03     	20180212
600	0003	PICOS                    	0001	FERT	0001	0001	CURSO03     	20180212
600	0004	CONVENCIONAL             	0001	FERT	0001	0001	CURSO03     	20180212
600	0005	REFRIGERADO              	0002	FERT	0001	0003	CURSO03     	20180212
600	0006	CONVENCIONAL 2           	0002	FERT	0001	0001	CURSO03     	20180212
600	0007	CRISTAL                  	0003	FERT	0001	0001	CURSO03     	20180212
600	0010	REPUESTOS                	0001	ROH 	0001	0004	CURSO03     	20180212
600	0020	MATERIAS AUXILIARES      	0001	ROH 	0001	0005	CURSO03     	20180212
600	0021	MATERIAS AUXILIARES 2    	0003	ROH 	0001	0005	CURSO03     	20180212
600	0030	MATERIAS PRIMAS          	0001	HALB	0001	0006	CURSO03     	20180212
600	0031	MATERIAS PRIMAS 2        	0003	HALB	0001	0006	CURSO03     	20180212
600	1   	LOLI PRUE                	0002	2   	2   	2   	2           	00000000
600	2   	LOLI2                    	0000	    	    	    	            	00000000
600	3   	LOLI3                    	0000	    	    	    	            	00000000
600	4   	LOLI4                    	0000	    	    	    	            	00000000
